GLOBAL ID,parents,cat_order
GDP,,1
POP,,2
GDPPC,,3
SHRGDPWL,,4
EOSQ051,GCI.A.01.01.01,1
EOSQ052,GCI.A.01.01.01,2
EOSQ146,GCI.A.01.01.02,1
EOSQ041,GCI.A.01.01.02,2
BRIBEIDX,GCI.A.01.01.02,3
EOSQ144,GCI.A.01.01.03,1
EOSQ042,GCI.A.01.01.03,2
EOSQ043,GCI.A.01.01.04,1
EOSQ048,GCI.A.01.01.04,2
EOSQ040,GCI.A.01.01.04,3
EOSQ039,GCI.A.01.01.04,4
EOSQ049,GCI.A.01.01.04,5
EOSQ033,GCI.A.01.01.05,1
EOSQ034,GCI.A.01.01.05,2
EOSQ035,GCI.A.01.01.05,3
EOSQ055,GCI.A.01.01.05,4
EOSQ153,GCI.A.01.02.01,1
EOSQ097,GCI.A.01.02.02,1
EOSQ127,GCI.A.01.02.02,2
EOSQ098,GCI.A.01.02.02,3
INVESTPROIDX,GCI.A.01.02.02,4
EOSQ056,GCI.A.02.01,1
EOSQ057,GCI.A.02.01,2
EOSQrailroad,GCI.A.02.01,3
EOSQ353,GCI.A.02.01,4
EOSQ061,GCI.A.02.01,5
AIRSEATKM,GCI.A.02.01,6
EOSQ064,GCI.A.02.02,1
MOBSUBPC,GCI.A.02.02,2
FIXEDTELPC,GCI.A.02.02,3
GOVBALGDP,GCI.A.03,1
GNSGDP,GCI.A.03,2
INFLAYRAVG,GCI.A.03,3
GOVDEBTGDP,GCI.A.03,4
CCRATING,GCI.A.03,5
EOSQ168,GCI.A.04.01,1
MALARIAPC,GCI.A.04.01,2
EOSQ169,GCI.A.04.01,3
TBPC,GCI.A.04.01,4
EOSQ170,GCI.A.04.01,5
HIVPREV,GCI.A.04.01,6
INFANTMORTPC,GCI.A.04.01,7
LIFEEXPECT,GCI.A.04.01,8
EOSQ129,GCI.A.04.02,1
ENROL1NET,GCI.A.04.02,2
ENROL2GR,GCI.B.05.01,1
ENROL3GR,GCI.B.05.01,2
EOSQ128,GCI.B.05.02,1
EOSQ130,GCI.B.05.02,2
EOSQ131,GCI.B.05.02,3
EOSQ084,GCI.B.05.02,4
EOSQ113,GCI.B.05.03,1
EOSQ139,GCI.B.05.03,2
EOSQ099,GCI.B.06.01.01,1
EOSQ105,GCI.B.06.01.01,2
EOSQ104,GCI.B.06.01.01,3
EOSQ398,GCI.B.06.01.01,4
STARTBUSPROC,GCI.B.06.01.01,5
STARTBUSDAYS,GCI.B.06.01.01,6
EOSQ046,GCI.B.06.01.01,7
CORPTAXRATE,GCI.B.06.01.01,8
EOSQ096,GCI.B.06.01.02,1
EOSQ094,GCI.B.06.01.02,2
EOSQ095,GCI.B.06.01.02,3
EOSQ050,GCI.B.06.01.02,4
IMPGDP,GCI.B.06.01.02,5
TFDUTY,GCI.B.06.01.02,6
EOSQ122,GCI.B.06.02,1
EOSQ100,GCI.B.06.02,2
EOSQ135,GCI.B.07.01,1
EOSQ134,GCI.B.07.01,2
EOSQ136,GCI.B.07.01,3
EOSQ397,GCI.B.07.01,4
REDUNCOST,GCI.B.07.01,5
EOSQ137,GCI.B.07.02,1
EOSQ126,GCI.B.07.02,2
EOSQ399,GCI.B.07.02,3
EOSQ400,GCI.B.07.02,4
FEMLABOR,GCI.B.07.02,5
EOSQ331,GCI.B.08.01,1
EOSQ332,GCI.B.08.01,2
EOSQ091,GCI.B.08.01,3
EOSQ088,GCI.B.08.01,4
EOSQ089,GCI.B.08.01,5
EOSQ087,GCI.B.08.02,1
EOSQ092,GCI.B.08.02,2
LEGRGHTIDX,GCI.B.08.02,3
EOSQ067,GCI.B.09.01,1
EOSQ068,GCI.B.09.01,2
EOSQ070,GCI.B.09.01,3
NETUSERPCT,GCI.B.09.02,1
BBSUBPC,GCI.B.09.02,2
INTBDWIDUSER,GCI.B.09.02,3
MOBBBSUBPC,GCI.B.09.02,4
GDPPPP,GCI.B.10.01,1
EXPGDP,GCI.B.10.01,2
DOMMKTIDX,GCI.B.10.01,3
FGNMKTIDX,GCI.B.10.02,1
EOSQ101,GCI.C.11,1
EOSQ102,GCI.C.11,2
EOSQ109,GCI.C.11,3
EOSQ114,GCI.C.11,4
EOSQ120,GCI.C.11,5
EOSQ124,GCI.C.11,6
EOSQ123,GCI.C.11,7
EOSQ121,GCI.C.11,8
EOSQ115,GCI.C.11,9
EOSQ119,GCI.C.12,1
EOSQ071,GCI.C.12,2
EOSQ118,GCI.C.12,3
EOSQ072,GCI.C.12,4
EOSQ074,GCI.C.12,5
EOSQ133,GCI.C.12,6
pctpatentapplpc,GCI.C.12,7
